sp,Family,Common Name,Vernacular Name,Status,Growth habit,Habitat,Adult Vegetative Zone,Seedling Vegetative Zone,Germination Requirements,Substrate Requirements,Soil or Nutrient Levels,Canopy Cover,Humidity Level,Other Abiotic Factors,Host Plant (if epiphytic),Pollination Mode,Seed Dispersal Mode,mode,"Other Biotic Partners (mycorrhizae, etc.)",Known Pest/Diseases,
Pogonatherum crinitum,Poaceae,Bamboo Grass,-,native,Grass,"limestone, clay",Understory,-,-,"Capable of primary succession, grows on volcanic substrate (Marler and Del Moral)",-,-,-,-,na,-,-,NA,-,-,
Polygala paniculata,Polygalaceae,Bubble Gum Plant,-,native,Herbaceous or subshrub,"limestone, clay",Understory,-,-,-,-,-,-,-,na,-,-,NA,-,-,
Procris pedunculata,Urticaceae,-,-,native,Herbaceous,"limestone, coastal LS, cliffside",Understory,"Forest floor, can sometimes grow epiphytically or on dead wood.","Can be propagated by terminal or basal stems (Cruz, pers. comm.)","Usually on limestone, sometimes epiphytic or on dead wood (Stone 1970); generally in pinnacle karst; growing in pits AND rocky outcrops (Demeulenaere et al 2018a)",,-,-,-,-,-,-,NA,Likely vesicular-arbuscular mycorrhizal association in Urticaceae family (Smith & Smith 1997),"Herbivory by slugs, pigs, deer",
Pterocarpus indicus,Leguminosae,narra,nana,native,Tree,limestone,Overstory,-,-,"Only one reported speciment from Guam, never seen by Stone. Ornamental on AAFB? (MK)","Phytoremediation of polluted soils (hexavalent chromium) has been attempted with this species, although Jatropha performed better (Mangkoedihardjo et al 2008)",-,-,-,na,,-,NA,Positive response to inoculation with VAM and Rhizobium on Macolod soils (Castillo 1993); Likely ectomycorrhiza and arbuscular myorrhizal fungi association in Leguminosae family (Newman & Reddell 1987),-,
Schleinitzia fosbergii,Leguminosae,"Leucaena insularum var. guamensis (syn), strand/native tångantångan ",tångantångan ,native,Shrub,"coastal limestone, coral sand","Edge, Cliffside",-,"Can be grown from seed, but probably won't do well away from windy, rocky coasts (Raulerson & Rinehart 1991)","""Restricted to coastal areas of limestone or coral sand."" (Stone 1970)",-,-,-,-,na,-,-,NA,Ectomycorrhiza and arbuscular myorrhizal fungi association in Leguminosae family (Newman & Reddell 1987),-,
Stictocardia tiliifolia,Convolvulaceae,-,Abubo,native,Woody vine,limestone,"Overstory, canopy",-,-,"Often found near coast (Stone 1970), common on disturbed substrates in FEAs",-,More common in open areas,-,-,na,-,-,NA,-,-,
Tacca leontopetaloides,Taccaceae,Arrowroot,gabgab,native,Herbaceous,"limestone, clay",Understory,Often near sea (Stone 1970),"Fruit is a 20-25mm diam. berry. Also has tubers, capable of vegetative propagation?","Variable: found on volcanic hills, beach/strand and on limestone boulders (Stone, 1970)",,-,-,-,na,-,-,NA,"Has been used as a crop. Possibly naturalized (Stone, 1970)",-,
Terminalia samoensis,Combretaceae,,talisai ganu,native,"Tree, medium","strand, ravine","Edge, Coastal LS, Strand",-,-,"""Always on the strand, in sand or among coral rocks"" (Stone 1970)",-,-,-,-,na,-,-,NA,Ectomycorrhiza association in Combretaceae family (Malloch et al 1980),-,
Tinospora homosepala ,Menispermaceae,-,-,"native, E",Herbaceous climbing vine,limestone,"Overstory, canopy",-,-,-,-,-,-,-,na,-,-,NA,-,Fruit piercing moth Eudocima fullonia (Reddy et al 2005),
Cordia subcordata,Boraginaceae,beach cordia,niyoron,native,Tree,"limestone, strand",Overstory,"Usually near sea, edge (Stone 1997)","Can be grown by seeds or cuttings (Raulerson & Rinehart 1991); Fruits may be soaked overnight to 2 days to hasten germination. Seedlings may be grown in partial shade and must be hardened off in full sunlight for 4-6 weeks, seeds may take 3-6 weeks to germinate, seedings may stay in nursery 6-8 months. Ouplant when 40-50cm tall (Friday & Okano, 2006)","Limestone cliffs and terraces, coralline boulders, coral sand (Stone 1970)","Sandy and clay soils, rocky limestone or lava headlands; neutral to alkaline soils pH 6.1-7.4 (Friday & Okano 2006)",Tolerates full sun & slight shade (Friday & Okano 2006; Tuquero & Laurent 2019),Can tolerate both drought & waterlogging (Tuquero & Laurent 2019),Tolerant of salt spray and wind; mean annual temperature 75-82°F (Friday &Okano 2006),-,-,Åga (Faegre 2014),endo,Vesicular-arbuscular mycorrhizal association in Boraginaceae family (Smith & Smith 1997),"Leaf worm Ethmia nigroapicella consumes the leaves and defoliates the tree; pathogenic fungi such as Pythium, Phytophthora, and Fusarium infest overwatered seedlings , which can lead to root damage during outplanting (Tuquero & Laurent 2019).",
Alyxia stellata,Apocynaceae,-,"nanago, lodosong lahe",native,Erect or scandent shrub,"limestone, clay","Overstory, canopy",-,-,"""occurs on both limestone and limestone-capped southern hills, and in savnnas where there is shade and (probably) a mixed soil"" (Stone 1970), Common on rocky cliffs (Safford 1905)",-,"""in [savanna] it is usually erect, while in limestone forest communities it is usually scadent"" (Stone 1970)",-,-,-,-,animal-dispersed,endo,Vesicular-arbuscular mycorrhizal association in Apocynaceae family (Smith & Smith 1997),-,
Callicarpa candicans,Verbenaceae,great wooly Malayan lilac,hamlag,native,Shrub,"limestone, coastal LS","Edge, Coastal LS","Edge, Coastal LS",Can be grown by seeds and cuttings (Raulerson & Rinehart 1991),,,,,,,,animal-dispersed,endo,Vesicular-arbuscular mycorrhizal association in Verbenaceae family (Smith & Smith 1997),,
Claoxylon marianum,Euphorbiaceae,,"panao, cator",native,Tree,limestone,Overstory,"Forest floor, edge",Can be grown by seeds and perhaps by cuttings (Raulerson & Rinehart 1991),Limestone (Raulerson & Rinehart 1991),-,Tolerate sun and shade,-,-,-,-,animal-dispersed,endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Euphoribiaceae family (Newman & Reddell 1987),-,
Drypetes dolichocarpa,Euphorbiaceae,-,,native,Tree,limestone,Overstory,"Open areas, forest edges (Raulerson & Rinehart 1991)","Propagated by its fruits, which mature at the beginning of the dry season (Raulerson & Rinehart 1991)",-,-,Tolerates full sun,-,-,-,-,animal-dispersed,endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Euphoribiaceae family (Newman & Reddell 1987),-,
Morinda umbellata,Rubiaceae,-,-,native,Woody vine,limestone,"Overstory, canopy",-,-,Limestone (Stone 1970),-,-,-,-,-,-,animal-dispersed,endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),-,
Solanum guamense ,Solanaceae,-,berenghenas halomtano,"native, E",Shrub,limestone,"Edge, Cliffside",-,-,"""plant of limestone cliffs and terraces near the sea"" (Stone 1970)",-,-,-,-,na,-,animal-dispersed,endo,Vesicular-arbuscular mycorrhizal association in Solanaceae family (Smith & Smith 1997),-,
Streblus pendulinus,Moraceae,S. brunonianus (syn? - see Conn 2015); Hawai'i roughbush,-,native,Shrub,rare,Understory,-,Can be grown from seed or cuttings (Raulerson & Rinehart (1991),Limestone (Raulerson & Rinehart 1991),-,Prefers shade (Raulerson & Rinehart 1991),Prefers humid environments (Raulerson & Rinehart 1991),-,na,-,animal-dispersed,endo,Arbuscular mycorrhizal association in Moraceae family (Hart et el 2013),-,
Trema orientalis var. viridis,Cannabaceae,-,-,native,"Tree, small to medium","limestone, clay","Understory, Edge","Edge, forest floor",Can be grown from seed or cuttings (Raulerson & Rinehart (1991),-,-,-,-,-,na,-,animal-dispersed,endo,-,-,
Vitex trifolia subsp. trifolia,Lamiaceae,"Vitex negundo var. bicolor (syn), chastetree",Lagundi,native,Shrub to small tree,"strand, coastal LS, mangrove","Edge, Coastal LS, Strand",-,Can be grown from seed or cuttings (Raulerson & Rinehart (1991),"""occurs along beaches and on rocks near the sea"" (Raulerson & Rinehart 1991), Grows in swampy places near the coast (Safford 1905)",-,-,-,-,na,-,animal-dispersed,endo,-,-,
Xylosma nelsonii,Salicaceae,-,-,native,Shrub to small tree,"LS, clay, mangroves","Edge, Coastal LS",-,Can be grown by seeds and perhaps by cuttings (Raulerson & Rinehart 1991),"In savannas, near the coast and adjacent to mangrove area (Stone 1970)",-,Can tolerate open areas,-,-,na,-,animal-dispersed,endo,-,-,
Geniostoma rupestre var. hoeferi ,Loganiaceae,-,måhlok håyu,native,Shrub to small tree,"limestone, clay",Edge,-,Can be grown by seeds and probably by cuttings (Raulerson & Rinehart 1991),"Volcanic savannas, and limestone soils (Stone 1970)","Volcanic savannas, and limestone soils (Stone 1970)",Can tolerate exposure,-,-,-,-,animal?,endo,Vesicular-arbuscular mycorrhizal association in Loganiaceae family (Smith & Smith 1997),-,
Cycas micronesica,Cycadaceae,federico,fadang,"native, T",Tree,"limestone, clay","Understory, Edge",Forest floor,Can be grown by seeds or by cuttings. Seeds may require 3-6 months to germinate. Cuttings should be made near the base and thrust 12-15cm into the ground. Female plats resumably root better than males. Concave spots on young  (12-18moths) plants can be cut out and planted (Raulerson & Rinehart 1991),"Limestone, clay",-,tolerates full sun or shade,-,-,-,-,Bats,endo,-,"Asian cycad scale,  Aulacaspic yasumatsui, is the greatest threat; other minor pest include armored scale, Indian wax scale, hemisperical scale, stem borer, sap beetle, Cycad male cone borer, and oriental flower beetle (Marler & Muniappan 2006)",
Cynometra ramiflora,Leguminosae,-,gulos,native,Tree,"limestone, clay","Overstory, Understory","Forest floor, along stream bank",Can be grown by seeds (Raulerson & Rinehart 1991); seedling often prolific in mast years (Vogt & Williams 2004),"Limestone, clay","Total carbon, total nitrogen, calcium, net ammonification and zinc greater in native forest cover (dominated by Cynometra ramiflora, Aglaia mariannensis, Pisonia grandis, Psychotria mariana and Eugenia palumbis) than in L. leucocephala patches (Marler et al 2016)",tolerates full sun or shade,-,-,-,-,Bats (Stone 1970) but unlikely; probably gravity,unassisted,Likely ectomycorrhiza and arbuscular myorrhizal fungi association in Leguminosae family (Newman & Reddell 1987),Balanophora pentamera root-parasite (Stone 1970),
Mammea odorata,Clusiaceae,UNRESOLVED NAME,chopak,native,Tree,"limestone, clay, coastal LS","Overstory, Understory","Forest floor, edge, cliffs","Can be propagated from seed, sprouted seedlings and seedlings collected in monotypic stands; growth after germination is slow (Raulerson & Rinehart 1991); Collect seeds from or around the tree. Dry seeds, and remove or scarify seed coats if desired.Seeds germinate in 1-5 months. Plant no deeper than twice the width of the seed (Bucayu-Laurent et al 2017)","Limestone terraces and plateaus, usually near the sea (Stone 1970)","Prefers, loamy, sandy, calcareous soils; neutral pH 6.1-7.4  (Bucayu-Laurent et al 2017)",Prefers partial shade (Bucayu-Laurent et al 2017),-,"Moderately salt tolerant, highly wind tolerant (Bucayu-Laurent et al 2017)",na,"Bats may assist pollination (Wiles & Fujita 1992); bird, bat and insect (Bucayu-Laurent et al 2017)",Bats (Wiles & Fujita 1992),endo,-,"Chinese rose beetle, grasshoppers, mealybugs (Bucayu-Laurent et al 2017)",
Elaeocarpus joga,Elaeocarpaceae,blue marble tree,yoga,native,Tree,"limestone, clay","Overstory, emergent","Forest floor, open areas  (Raulerson & Rinehart 1991)","Seedlings prefer shaded conditions, requires one month to emerge (Marler et al 2015); thin exocarp and hard/fibrous mesocarp removed down to the hard endocarp, endocarp dried for 2-4 days in air-conditioned room, vice-grip used to compress endocarp so that splitting would occur lengthwise to extract seeds, planted with a combination (3:1) of commercial potting soil and local loam soil approximately 1.3cm deep or left on soil surface, seeds hydrated with tap water as needed and exposed only to some late afternoon sun (Ritter & Naugle 1999); Collect healthy, mature fruits. Dry and crack to obtain the seeds. Plant no deeper than 0.80"". Germination may take up 2 months after scarification (Tuquero & Laurent 2019)","Limestone, clay",Alkaline soils (Marler & Lawrence 2004); prefers neutral to alkaline limestone soils pH 6.5-7.5 (Tuquero & Laurent 2019),"Tolerate full sun or shade, recommended for reforestation (Tuquero & Laurent 2019)",Prefers moderately moist soil (Tuquero & Laurent 2019),Low salt tolerance and medium wind tolerance (Tuquero & Laurent 2019),-,Bats may assist pollination (Wiles & Fujita 1992),Bats (Wiles & Fujita 1992); Åga (Faegre 2014); Doves (Raulerson & Rinehart 1991),endo,Vesicular-arbuscular mycorrhizal association in Elaeocarpaceae family (Smith & Smith 1997),"Rooting and wallowing of seedlings by ungulates (Schreiner 1997); high seed predating insect populations below parent trees (Ritter and Naugle 1999); Black citrus aphid, Toxoptera aurantii, found on tender stems; mealybug, Pseudococcus microadonidum, found eating foliage; armored scale, Lepidosaphes rubrovittata, found feeding on leaves; Indian wax scale, Ceroplastes ceriferus, feeds on tender stems; six spotted spider mite,Eotetranychus sexmaculatus feeds on lower surface of leaves; caterpillars Adoxophyes liberalis, Thiotricha sp., Epinotia sp., and Herpystis sp. feed on different parts of the tree; leaf cutter bee, Megachile sp., cuts patches in margins of leaves (Muniappan et al 2002)",
Ochrosia mariannensis,Apocynaceae,lipstick tree,langiti,native,Shrub to small tree,limestone,"Understory, Edge, Cliffside; ""It is an edge species, not an understory species"" (Raulerson & Rinehart 1991)","Forest floor, edge, cliffs","Can be grown from seed or cuttings. As with other members of the family, branches can be cut, dried slightly and stuck in the ground (Raulerson & Rinehart 1991)",Limestone and occasionally in southern hills (Stone 1970); common on disturbed limestone on AAFB (MK),-,Can tolerate exposure,"Drought tolerant, although will wilt in the hottest afternoons (Raulerson & Rinehart 1991)",-,na,-,Bats (Wiles & Fujita 1992); Åga (Faegre 2014); pigs,endo,Vesicular-arbuscular mycorrhizal association in Apocynaceae family (Smith & Smith 1997),-,
Ficus microcarpa,Moraceae,,nunu,native,Tree,limestone,"Overstory, emergent",epiphytic,Seeds are readily germinated and can be also be grown from cuttings and air layers (Starr et al 2003),Rocky coastal areas (Stone 1970),-,Tolerate sun and shade,-,-,-,Wasp,Bats (Wiles & Fujita 1992); bird/Bat (Wandrag et al 2015); Såli (Pollock et al 2020); Åga (Faegre 2014),endo,Arbuscular mycorrhizal association in Moraceae family (Hart et el 2013),-,
Ficus tinctoria,Moraceae,dyers fig,"hoda, tagete",native,Tree,limestone,"Overstory, Understory",epiphytic or cliff (Stone 1970),"Can be grown from seed (Raulerson & Rinehart 1991); Collect seeds from healthy, mature fruit either on the tree or ground. Scatter seeds on top of the soil as they are very tiny. Seed will germinate in up to 2 months. For cuttings, select tip cuttings 2-5 "" long from healthy lateral branches. (Tuquero & Laurent 2019)","Native, coastal or inland, usually on limestone (Stone 1970)",Prefers neutral soil; pH 6.0-7.5 (Tuquero & Laurent 2019),Can tolerate exposure,Prefers moist soil (Tuquero & Laurent 2019),High salt and wind tolerance (Tuquero & Laurent 2019),-,Wasp,Bats (Wiles & Fujita 1992); bird/Bat (Wandrag et al 2015); Såli (Pollock et al 2020); Åga (Faegre 2014),endo,Arbuscular mycorrhizal association in Moraceae family (Hart et el 2013),-,
Ficus prolixa,Moraceae,"strangler fig, banyan",nunu,native,Tree,"limestone, clay","Overstory, emergent",epiphytic (Raulerson & Rinehart 1991),"Can be propagated by air layering, seeds and cuttings (Raulerson & Rinehart 1991)",Volcanic and limestone areas (Stone 1970),-,Can tolerate exposure,-,-,"Limestone forest trees, highly variable",Wasp,Bats (Wiles & Fujita 1992); bird/Bat (Wandrag et al 2015); Såli (Pollock et al 2020); Åga (Faegre 2014); pigs (Gawel et al 2018),endo,Arbuscular mycorrhizal association in Moraceae family (Hart et el 2013),-,
Dendrocnide latifolia,Urticaceae,-,,native,Tree,limestone,Overstory,"Forest floor, edge",Can be grow by seeds or cuttings (Raulerson & Rinehart 1991),Limestone (Stone 1970),-,tolerates sun or shade,-,-,-,-,Bats (Wiles & Fujita 1992); birds,endo,-,-,
Pipturus argenteus,Urticaceae,Silvery pipturus,"amahadyan, amahatyan",native,Shrub to large tree,limestone,"Overstory, Edge",-,"Can be grown from seed or cuttings (Raulerson & Rinehart 1991); Collect seeds from mature and healthy fruits on the tree, and dry them. Add a very light covering of soil. Seeds will germinate in 1-2 months (Laurent & Tuquero 2019b)","Limestone, cliffside (Stone 1970)","Prefers well drained, neutral soil (pH 6.6-7.3); fast growing plant, good for revegetation (Laurent & Tuquero 2019b)",Can tolerate full sun (Raulerson & Rinehart 1991); Laurent & Tuquero 2019b),Drought tolerant (Laurent & Tuquero 2019b),"High salt tolerance, low wind tolerance (Laurent & Tuquero 2019b)",na,-,Bats (Wiles & Fujita 1992); Såli (Pollock et al 2020); Åga (Faegre 2014); birds,endo,Vesicular-arbuscular mycorrhizal association in Urticaceae family (Smith & Smith 1997),Hypolimnas anomala larvae (Vogt & Williams 2004); Stigmella ebbenielseni sp. nov. (van Nieukerken & van den Berg 2003) ,
Artocarpus mariannensis,Moraceae,seeded breadfruit,dokdok,native,Tree,limestone,"Overstory, emergent",Forest floor,"Can be grown by seeds or by damaging a surface root and transplanting the young plant that results from such damage (Raulerson & Rinehart 1991); Select firm, shiny uniform seeds that do not yield to the touch when squeezed. Plant immediatly as seeds are recalcitrant and cannot be dried or chilled, well drained medium at a depth twice the width of the seed. Seedlings prefer 20-50% shade. Outplant when plants have reached 1.25m tall and 2cm in stem diameter (Ragone & Manner 2006). Collect seed from mature healthy fruits. Seedlings can also be gathered from beneath fruiting trees. Clean seeds in a 2% bleach solution for 5-10 minutes or treat  with a fungicide. Seeds germinate in 10-14 days Plant at twice the width of the seed (Tuquero et al 2017).",limestone (Raulerson & Rinehart 1991),"Alkaline to neutral soils (pH>6.1-7.4); Adapted to limestone ridges and outcrops and shallow calcareous soils. Thrives in volcanic soil but good drainage is essential. Hybrid varieties are well adapted to shallow sandy soils or coral atolls and should do well in coastal areas throughout the ropics. Light, well drained soils; sands, sandy loams, loams (Ragone & Manner 2006)",Tolerates sun and  shade (Raulerson & Rinehart 1991); prefers partial (20-50%) shade (Tuquero et al 2017).,"Prefers climates with summer rains (Ragone & Manner 2006); does not require much water, besides for the first 1-3 months after planting (Tuquero et al 2017)",Does not tolerate salt spray very well (Rauleson &Rinehart 1991); mean annual temperature 79-82°F (Ragone & Manner 2006); trees are shallow-rooted and may topple during typhoon-intensity winds but will produce new shoots and branches after sustaining wind damage (Ragone & Manner 2006); high salt and wind tolerance (Tuquero et al 2017c),-,"Honeybees vist male inflorescences and collect pollen and also collect latex from fruit surface (Ragone & Manner 2006); bee, bat, and bird pollinated (Tuquero et al 2017)",Bats (Wiles & Fujita 1992); Såli (Pollock et al 2020); Åga(Faegre 2014),endo,Arbuscular mycorrhizal association in Moraceae family (Hart et el 2013),Termites; Phellinus nocius root rot may occur if planted in areas of native forst that have recently been cleared (Ragone & Manner 2006); ungulate browsing on seedlings (Wiles 2005); susceptible to Phellinus noxius (Tuquero et al 2017),
Merrilliodendron megacarpum,Icacinaceae  ,unresolved name (theplantlist.org),faniok,native,"Tree, medium",limestone,"Overstory, emergent",-,Young plants can be successfully transplanted if the new site is suitable (Raulerson & Rinehart 1991),Limestone (Stone 1970),-,"""plant of lush forests"" (Raulerson & Rinehart 1991)",-,Salt tolerant (Raulerson & Rinehart 1991),na,-,Bats (Wiles & Fujita 1992); seeds can float (Raulerson & Rinehart 1991),endo,-,-,
Tristiropsis obtusangula,Sapindaceae,UNRESOLVED NAME,faia,native,Tree,"limestone, clay","Overstory,  emergent, Edge",Forest floor,"Can be grown from seed, or seedlings collected from the wild (Raulerson & Rinehart 1991)",Chiefly on limestone but also in mixed soils (Stone 1970),Prefers neutral pH 6.5-8 and well-drained sites; salt tolerance is low (Laurent & Tuquero 2019),-,-,"Typhoon tolerant (Raulerson & Rinehart 1991), medium wind tolerance (Laurent & Tuquero 2019)",na,-,"Bats (Wiles & Fujita, 1992)",endo,Ectomycorrhiza association in Sapindaceae family (Reddell & Warren 1986),"Pests: scale, mealybug, pig, deer (Laurent & Tuquero 2019), Bark smoother in forest, more rough and pitted in edges and yards (MK)",
Hernandia sonora,Hernandiaceae,Jack-in-a-box,nonak,native,Tree,"limestone, backstrand, ravine","Overstory, emergent",-,"Can be grown by seeds in appropriate habitats but germination is irregular and may require two-to-six months (Raulerson & Rinehart 1991); Collect seeds from healthy, mature fruits and remove the seed jacket. Plant  at no more than twice the size of the seed. Germination may occur 1 month after sowing but can take up to six months (Laurent & Tuquero 2019)",Generally along shoreline (Stone 1970),"Prefers moisture-retentive, neutral to alkaline (pH 6.5-8) soils (Laurent & Tuquero 2019)",Can tolerate full sun (Laurent & Tuquero 2019),Prefers moist soil (Laurent & Tuquero 2019),High salt and wind tolerance (Laurent & Tuquero 2019),-,-,"Bats (Wiles & Fujita, 1992); Åga (Faegre 2014); sea drift (Nakanishi 1988)",endo,-,-,
Pandanus tectorius,Pandanaceae,Pandanus fragrans (syn.),kafu,native,Tree,"limestone, clay",Overstory,-,"Can be grown from seed (Raulerson & Rinehart 1991); to speed germination, seeds may be soaked in cool tap water for 5 days, changing water daily; viable seeds will float; seedlings germinate withing 4-10 weeks; up to eight shoots may emerge; outplant when 4-12 month old, 30-40 cm tall (Thomsom et al 2006)","only one reported speciment from Guam, never seen by Stone. Ornamental on AAFB? (MK)",Grows in acid to alkaline soil pH 6-10 (Thomsom et al. 2006),Can grow in open areas such as savanna (Stone 1970),"Adapted to climates with summer, bimodal, and uniform rainfall patterns. Drought tolerant. (Thomson et al. 2006)","Tolerant of waterlogging, salt spray, and wind (Thomson et al. 2006)",na,"Bats may assist pollination (Wiles & Fujita, 1992)","Bats (Wiles & Fujita, 1992); bats and rats (Raulerson & Rinehart 1991)",endo,-,Phyllosticta sp. (Schlub 2017),
Ochrosia oppositifolia,Apocynaceae,"twin-apple, Neisosperma oppositifolium (syn)",fagot,native,Tree,limestone,Overstory,"Forest floor, edge","Can be grown from seed, or sprouted seed collected from the wild (Raulerson & Rinehart 1991)","Common on coast and limestone plateaus on Guam, sandy beaches elsewhere (Stone 1970)",-,-,-,"Very typhoon resistant (Stone 1970, Raulerson & Rinehart 1991)",na,-,"Bats (Wiles & Fujita, 1992); Birgus (Vogt & Williams 2004); Seeds can float (Stone 1970)",endo,Vesicular-arbuscular mycorrhizal association in Apocynaceae family (Smith & Smith 1997),-,
Guettarda speciosa,Rubiaceae,zebrawood,panao,native,Tree,limestone,"Edge, Cliffside, Strand","Edge, Cliffside, Strand",Easily propagated from seeds (Raulerson & Rinehart 1991),"Sandy coralline or rocky limestone coasts, also scattered over the northern limestone plateau (Stone 1970)",-,Tolerates sun and shade,-,-,-,"Bats may assist pollination (Wiles & Fujita, 1992); moths (Stone 1970)","bats, maybe birds",endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),-,
Piper guahamense ,Piperaceae,Wild Piper,Pupulu-n-aniti/,native,Shrub,"limestone, backstrand",Understory,Forest floor,Can be grown from seed or root stock (Raulerson & Rinehart 1991),"Common on limestone, capable of growing on disturbed substrates",-,Can grow in partial or full shade,"Prefers moist areas (Safford 1905, Raulerson & Rinehart 1991)",-,na,-,"bird, bat",endo,-,-,
Premna serratifolia,Lamiaceae,False elder,ahgao,native,Tree,"limestone, clay","Overstory, Edge",-,Can be grown from seed or cuttings (Raulerson & Rinehart (1991),Common all along coasts and in disturbed habitat in N. Guam (Stone 1970),Premna leaf litter decomposes rapidly compared to other native species (CNAS 2016),"""can quickly invade old fields, vacant lots and roadsides."" (Stone 1970)",-,-,na,-,Bird/Bat (Wandrag et al 2015); Såli (Pollock et al 2020); Åga (Faegre 2014),endo,-,Gall-infested leaves (Stone 1970),
Planchonella obovata,Sapotaceae,yellow box wood,lalahag,native,Shrub to large tree,"limestone, clay","Understory, Edge, Cliffside",-,Can be grown by seeds and perhaps by cuttings (Raulerson & Rinehart 1991),"Limestone both near the sea and inland, sometimes on mixed soils if near the coast (Stone 1970)",-,-,-,-,na,-,birds,endo,-,-,
Syzygium thompsonii,Myrtaceae,Eugenia thompsonii (syn.),atoto,native,"Tree, medium",limestone,"Overstory, Understory","Forest floor, edge",Can be grown from seed or cuttings (Raulerson & Rinehart 1991),Limestone (Stone 1970),-,Tolerate sun and shade,Prefers humid environments (Raulerson & Rinehart 1991),-,-,-,Birds (Wandrag et al 2015),endo,Ectomycorrhiza and arbuscular myorrhizal fungi association in Myrtaceae family (Newman & Reddell 1987),-,
